Class,Original Positive Weights,Positive Weights
Atelectasis,8.699801020849554,2.94954251
Cardiomegaly,39.38904899135447,6.27606955
Consolidation,23.023998285836726,4.798332865
Edema,47.68432479374729,6.905383754
Effusion,7.419313659,2.72384171
Emphysema,43.56279809220986,6.600211973
Fibrosis,65.50059312,8.093243671
Hernia,492.92070484581507,22.2018176
Infiltration,4.6358701115914345,2.153107083
Mass,18.391214112763752,4.288497885
Nodule,16.70968251461065,4.087747854
Pleural_Thickening,32.122599704579024,5.667680275
Pneumonia,77.35080363382251,8.794930564
Pneumothorax,20.146737080347037,4.488511678
